author,content
BarackObama,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell"
BarackObama,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx"
BarackObama,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a"
BarackObama,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
BarackObama,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport"
BarackObama,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
BarackObama,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"
BarackObama,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU
BarackObama,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and y… https://t.co/89gl6pzMGD"
BarackObama,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i
BarackObama,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe… https://t.co/jvdFY87XBu"
BarackObama,"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.… https://t.co/Spjlga4eTT"
BarackObama,Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y
BarackObama,Usted y su familia merecen la tranquilidad de saber que están cubiertos. El mercado de seguros abre mañana. https://t.co/9iRCkLRGZD
BarackObama,"Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj"
BarackObama,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less… https://t.co/BUmnRO9B3E
BarackObama,Open enrollment begins tomorrow—make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3
BarackObama,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob
BarackObama,Senate leaders should put the common good above politics—the integrity of our nation's highest court depends on it.… https://t.co/iRVCEl1pzf
BarackObama,Don't ghost on your health and well-being—your chance to #GetCovered is coming up. Open enrollment starts November… https://t.co/qwNLazuPiz
BarackObama,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u
BarackObama,"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO"
BarackObama,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID
BarackObama,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate
BarackObama,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C
BarackObama,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI"
BarackObama,"No one's too wrapped up in pre-existing conditions to #GetCovered.
Thanks to Obamacare, you can find a plan that m… https://t.co/C7H9TZdxeU"
BarackObama,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH
BarackObama,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb
BarackObama,"Women, the sick, survivors—they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV"
BarackObama,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A
BarackObama,Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E
BarackObama,Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl
BarackObama,The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market. https://t.co/Lv7DnRM2DY
BarackObama,"Since 2010, America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: https://t.co/MhIICuE17A"
BarackObama,"Health care is a right, not a privilege—and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW"
BarackObama,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq
BarackObama,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the… https://t.co/1lSzxCHZVf
BarackObama,"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm"
BarackObama,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF
BarackObama,"There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw"
BarackObama,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O
BarackObama,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O
BarackObama,There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team:… https://t.co/SpfRFK5LWq
BarackObama,"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob"
BarackObama,"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0"
BarackObama,The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q
BarackObama,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate
BarackObama,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate
BarackObama,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ"
BarackObama,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP
BarackObama,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn
BarackObama,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change: https://t.co/vM3xM6mCf3"
BarackObama,Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: https://t.co/OMdTVim0TC #DoYourJob
BarackObama,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a… https://t.co/w9bPtpSmm7
BarackObama,We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob
BarackObama,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS… https://t.co/iTVTqGIUvV
BarackObama,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate
BarackObama,"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6"
BarackObama,"""That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF"
BarackObama,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob
BarackObama,"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP"
BarackObama,Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob
BarackObama,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q
BarackObama,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW
BarackObama,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate"
BarackObama,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9
BarackObama,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate
BarackObama,"""On behalf of Michelle and our family, G’mar Chatimah Tovah."" —President Obama #YomKippur"
BarackObama,"""LGBT individuals deserve to know their country stands beside them."" —President Obama #NationalComingOutDay https://t.co/op7nBzbaod"
BarackObama,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB
BarackObama,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob
BarackObama,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6"
BarackObama,Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC
BarackObama,"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word.… https://t.co/ZkN8HVbn3E"
BarackObama,Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap
BarackObama,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh
BarackObama,"Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ"
BarackObama,The economic progress we've made is undeniable—let's keep it up. https://t.co/gAlfaC1hkI
BarackObama,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL
BarackObama,"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record."
BarackObama,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53
BarackObama,The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate
BarackObama,This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7
BarackObama,"""Today is a historic day in the fight to protect our planet for future generations."" —President Obama #ActOnClimate https://t.co/x3dJSCYUcj"
BarackObama,LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91
BarackObama,Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob
BarackObama,Enough is enough. Say it's time for Senate leaders to get to work: https://t.co/2M789YIcBk #DoYourJob
BarackObama,"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them."" —President Obama https://t.co/cfxpSBNWIU"
BarackObama,Take what matters with you. https://t.co/E0hXWSu1q3 https://t.co/KJJdkE8DML
BarackObama,"We've come a long way, but the fight for fairness and an economy that works for everyone continues. https://t.co/WWRhZHwYWE"
BarackObama,Side-by-side for 24 years. Here's to many more. #HappyAnniversary https://t.co/nh8Xfc7IWU
BarackObama,Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3
BarackObama,"In the weekly address, President Obama discusses why access to paid leave is so important. https://t.co/q9kDEqYs5u #LeadOnLeave"
BarackObama,Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave https://t.co/FF4hTkgOZy
BarackObama,"After thirty years in Congress, Senator, this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo… https://t.co/86F1fhUWsp"
BarackObama,We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob
BarackObama,"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl"
BarackObama,It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob
BarackObama,"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave"
BarackObama,Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq
BarackObama,The @OFA Truth Team makes it easy to stay informed. Join today: https://t.co/Q0axQYyJY1
BarackObama,"This is no accident—we're making a comeback because together, we've fought hard to support American families. https://t.co/LTk7SiTexP"
BarackObama,We're better off than we were eight years ago. https://t.co/OwrTM3V78t
BarackObama,"Household incomes are up, and the poverty rate is down across all demographics. https://t.co/cEIdPJuuvR"
BarackObama,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their… https://t.co/DkmDKpMhOw"
BarackObama,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/AGrUjJTnST #DoYourJob
BarackObama,"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn https://t.co/dD1EPgaA9W"
BarackObama,"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garl… https://t.co/ryPFLZDAhY"
BarackObama,Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: https://t.co/yhy8al1FK7 #DoYourJob
BarackObama,The American people are waiting for Senate leaders to do their jobs. https://t.co/LNqAQpxMle
BarackObama,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob
BarackObama,"Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi"
BarackObama,Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP
