author,content
justinbieber,My I love you face https://t.co/FjDaOjinwE
justinbieber,#10yearsofkidrauhl where it all began. Thanks https://t.co/iXMOt2sT3E
justinbieber,Watched never say never on Netflix. Great movie
justinbieber,Tour access https://t.co/12mNDNJeYS
justinbieber,Life is good
justinbieber,RT to Send my boy Chris Paul @CP3  to the NBA All-Star Game #NBAVote #retweettovote
justinbieber,My sister has a YouTube channel. Proud of you Jazzy. https://t.co/Q8HEULYLUk
justinbieber,Today. https://t.co/VIVmpJ4I4X
justinbieber,you just got knocked the fuck out
justinbieber,Great book #howsyoursoul by my friend @judahsmith https://t.co/OXkSFgzyAk
justinbieber,Thank you https://t.co/o8h1AUSifO
justinbieber,"Miami. See you at @Fontainebleau​ for #NYE2017
https://t.co/lSBp5aVirr https://t.co/fyNHjapdkC"
justinbieber,"Merry Christmas everyone :)
https://t.co/KjiOD3EBZJ"
justinbieber,https://t.co/4UNgQ3vt0E
justinbieber,"New holiday #Justmojis
https://t.co/d3N0mzAcWC https://t.co/vWjSo0Jf1P"
justinbieber,This is one of the funniest videos I have ever seen. Haha https://t.co/MnwI579UZE 😂
justinbieber,More 2017 #PurposeTour stadiums on sale now https://t.co/ZW5b2loGdQ https://t.co/djweYMuizS
justinbieber,Dublin @TheRDS on sale too #PurposeTour https://t.co/GR0hWyGzwY
justinbieber,UK. Bringing #PurposeTour next summer to Cardiff and London https://t.co/vBknuqb076 https://t.co/FnqmtoZ5hK
justinbieber,Thank you https://t.co/b1VJ3Tldy0
justinbieber,That time of the year. Mistletoe is currently the most streamed UMG song on Spotify. Thanks https://t.co/pJolWSeUmT
justinbieber,North America 2017 #PurposeTour stadiums on sale now. See u soon https://t.co/JdlUdme7r3 https://t.co/yIM2KdtQJz
justinbieber,Good times boys https://t.co/qMz9BPpUpB
justinbieber,2nd show added in Toronto. Pre-sale code 'LOVEYOU' for #PurposeTour stadiums. On sale tomorrow https://t.co/xqTwvUPl1G
justinbieber,Love seeing my little guy raising money for the kids. Congrats Cruz. Nice one https://t.co/bnqJRFaqy0
justinbieber,Congrats buddy. Let's keep changing lives :) https://t.co/VZeZWJsovz
justinbieber,Thank you
justinbieber,#AmexPresale for #PurposeTour stadiums up now thru 12/8 for @AmericanExpress Card Members https://t.co/XAS9DG0m58
justinbieber,"#PurposeTour stadiums. Let's go!! Tix on sale Friday
https://t.co/0ee1u1jNsT https://t.co/FPKXf8J2ae"
justinbieber,Make sure to watch for major tour announcement :) https://t.co/DCWfOMcPQx
justinbieber,Tomorrow @TheEllenShow :) https://t.co/Wc38RHSq2Z
justinbieber,Download @bestfiends FOREVER for free and help to #endAIDS with @RED and @AppStoreGames https://t.co/6AZuIN0MC9… https://t.co/QBS9hUNQEr
justinbieber,Get @bestfiends for free from https://t.co/y3yApdlFSq and help to #endAIDS with @RED and @AppStoreGames… https://t.co/pGM6zOp41S
justinbieber,LA tonight
justinbieber,See u tonight @iHeartRadio #KIISJingleBall
justinbieber,Sorry I missed #LOS40MusicAwards. Thanks @Los40_Spain and my beliebers for best international album :) #Purpose
justinbieber,"#PurposeTour merch now at @HM
https://t.co/mamW0HqJBe #PurposeTourxHM https://t.co/S0zwP7952V"
justinbieber,Thank you Europe
justinbieber,"Final Europe show in London tonight. It's been incredible. Thank you .
#PurposeTour"
justinbieber,Good meeting you. Great guy right here https://t.co/SQAUVSDjpV
justinbieber,Thanks dad not bad genes #biebergenes https://t.co/m6ariqtwIW
justinbieber,London #PurposeTour
justinbieber,"New #PurposeTourMerch for the holidays
https://t.co/y8sxm6dXRC https://t.co/1Wg318EanM"
justinbieber,Young Cruz! Great job buddy #hometomama https://t.co/A7IvKhpQWE
justinbieber,Great day https://t.co/7ePUiVugUC
justinbieber,The man https://t.co/REORbMikSd
justinbieber,Thank you https://t.co/bEa1yGpVCZ
justinbieber,Please help #BRINGCHARLIEHOME https://t.co/QhmWKEDskN https://t.co/n9s5yGrQPi
justinbieber,:) https://t.co/6lZQhLgt97
justinbieber,#7YearsofMyWorld https://t.co/cSYIiTfGj0
justinbieber,Thank you https://t.co/oSww7fBGk7
