author,content
katyperry,Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK
katyperry,@barackobama Thank you for your incredible grace in leadership and for being an exceptional… https://t.co/ZuQLZpt6df
katyperry,Life goals. https://t.co/XIn1qKMKQl
katyperry,Me right now 🙏🏻 https://t.co/gW55C1wrwd
katyperry,SISTERS ARE DOIN' IT FOR THEMSELVES! 🙌🏻💪🏻❤️ https://t.co/0shuUYUBEv
katyperry,happy 96th gma #fourmoreyears! 🎈 @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA
katyperry,"Kyoto, Japan
1. 5. 17. https://t.co/o28M0vw9lR"
katyperry,🇯🇵 @ Sanrio Puroland https://t.co/eXVev5UMBx
katyperry,2017 resolution: to embody authenticity!
katyperry,sisters. https://t.co/5ZE21x2aNk
katyperry,Happy Holidays! Sending love and light to every corner of the earth 🎁
katyperry,"Damn, it's hard to wrap presents when you're drunk. cc @santa"
katyperry,When my whole fam tryna have a peaceful holiday 💁🏻hehehe https://t.co/fEyq3hzdlz
katyperry,When your holiday shopping is woke af ❗️blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L
katyperry,@shannonwoodward Have you been hacked
katyperry,This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautiful… https://t.co/vL1BIj4sCZ
katyperry,Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA
katyperry,For real tho https://t.co/jxMV9Q6WCs
katyperry,I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6
katyperry,I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY
katyperry,@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.
katyperry,@jessesaintjohn @kanyewest FADE DOE
katyperry,"Omg deep cut, agreed https://t.co/0yGlkuo3bJ"
katyperry,Same https://t.co/98vBUp7BzI
katyperry,Fully https://t.co/Iii4a58tPN
katyperry,PROOF THAT YOUR VOICE ACTUALLY MATTERS! 🙏🏼🙌🏼💪🏼😭 https://t.co/tAwL0a9y9E
katyperry,This holiday season be the girl that takes jump photos at the mall ☑️ wears activewear at night… https://t.co/0eGYnKF5fk
katyperry,"Slowly, I am coming down from the beautiful cloud that was Tuesday night's unicef Snowflake… https://t.co/Bia5wug56I"
katyperry,I dare you to find a better live vocal performance than this timeless masterpiece: https://t.co/J1gW29kC7J #jenniferholliday
katyperry,This #Thanksgiving #IStandWithStandingRock text WATER to 82623 to help now! Sign the petition here: https://t.co/GFhQKfsB0i
katyperry,"On #Thanksgiving, a day with complex origins, I want to speak up in support of the Standing Rock… https://t.co/CKyB7H3LCD"
katyperry,"Heading into my family 🦃-Day, I'm mindful about building a bridge thru peaceful convo. Try this guide from @nytimes: https://t.co/mzBbNw1ZHD"
katyperry,great tweet 🏆 https://t.co/Z6QeywsBpt
katyperry,". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric?
#thanksgivingdayclapback"
katyperry,Caught a big one this week 🎣 ...
katyperry,Let it be known!  https://t.co/AXmAjmNMgc
katyperry,Back to work because: ALL OF THE ABOVE 💪🏼 https://t.co/dUvh7jN8Oi
katyperry,Operate in the light.
