author,content
ladygaga,#WomensMarchOnWashington I'm so proud to be a woman alive during this time. Look how strong we are.  And there for… https://t.co/wuqgCEr8Al
ladygaga,My Journey To The Superbowl Halftime Show https://t.co/I1MGrlFfdL
ladygaga,"With this faith, we will be able to work together, to pray together, to struggle together, #IHaveADream"
ladygaga,@zoebabe997 thank you 😊💕
ladygaga,"Join me, @BTWFoundation and @Twitter to #KickOffForKindness at the biggest game of the year! https://t.co/HIX2D7SWNL"
ladygaga,"⚡️ “Surprise EP marks what would have been David Bowie's 70th birthday”

https://t.co/XrKXux2ntp"
ladygaga,#LittleMonsters #iHeartAwards 9 years and counting!!! #BestFanArmy because they always embrace my twists and turns… https://t.co/tA9r8lnE6t
ladygaga,"Little Monsters, congrats on your #iHeartAwards nomination! 💖 Tweet #LittleMonsters #BestFanArmy &amp; #iHeartAwards to… https://t.co/Ba6ShcSByZ"
ladygaga,"We're all gonna miss you #RIPGeorge thanku for making so many of my favorite songs &amp; videos of all time ""Too Funky"" https://t.co/emcqlMBGXL"
ladygaga,If you're looking for some home-style Italian Recipes &amp; a look into my family history. You can get our cookbook--&gt; ❤️https://t.co/o174PlRFwD
ladygaga,Merry Christmas and Happy Holidays from me and my dad to you!! Natali and Mom are busy in the kitchen. We love you!… https://t.co/kjSSAzG1OP
ladygaga,Love your baby!! He's so cute! I'm glad he loves the song and video he's so little!! ❤️❤️❤️✨☀️ https://t.co/GGqqakGPo5
ladygaga,@CTiainen I THINK I SPOT A GRIGIO GIRL
ladygaga,@DereKills #JOANNE will always have your back &amp; be the angel on your shoulder
ladygaga,Though problems are challenging they often show the truth. We can stop &amp; see it. You might even say there is a gift in them. 🎁Happy Holidays
ladygaga,. @Bonzomutt thank you I feel that same gratitude 🙏
ladygaga,"I love my monsters
⚡️ “Joanne has really been a healing experience. Thank you Lady Gaga ❤️” by @joanneslays37

https://t.co/F2kjrGvK4u"
ladygaga,". @LGagaAmerica Being different pays off, no matter what. Being yourself &amp; living your truth will always leave a legacy of authenticity.  ❤️"
ladygaga,.@SupportGaga66 @MisterBroRo it pays off to be different. Being u &amp; working hard in your truth leaves a legacy of authenticity. ❤️✨#Joanne
ladygaga,"This is so special to me ❤️

⚡️ “Little Monsters thank Lady Gaga for giving everything she's got 🌹” by @zombygaga

https://t.co/a05IRuFvG8"
ladygaga,Thanku my angels the real healin' is when I play these songs &amp; look in your eyes singin them back to me &amp; knowin I'… https://t.co/kKXabyWVv5
ladygaga,That makes me feel good thank u i made that music like a hymn from my heart to you https://t.co/ekqKOAozhj
ladygaga,Feel the same way about you darlin' https://t.co/qq0CIdIKC1
ladygaga,Happy 90th birthday Tony! Love u 💖 Watch the celebration tomorrow at 9pm ET on @NBC! #Tony90 https://t.co/FpolQ5BBp6
ladygaga,"Love this 🎤💋✌️️⚡️ “Lady Gaga's discography” by @austriamonster

https://t.co/F0GIcEcXOu"
ladygaga,https://t.co/5qfyR22l8g
ladygaga,"My fans ✨are superstars.

⚡️ “Little Monsters React To Lady Gaga's Million Reasons Video!💖👑” by @AmyGrimesSuxx

https://t.co/rnnsqHyp5W"
ladygaga,@rihftperry thank you I love you and all my fans so much for supporting my evolution you all give me a Million Reasons to stay. ❤️
ladygaga,"Perfect Illusion leads right into this...a story and look into my life
#MillionReasonsVideo
WATCH IT HERE---&gt;: https://t.co/rmjJ5IIizz"
ladygaga,#MillionReasonsVideo out in 3 hrs 47min ❤️❤️!!!!!✨😁☀️ https://t.co/sfvV8v1Jfq
ladygaga,I had so much fun at The Royal Variety Performance! Watch it here #MillionReasons LIVE: https://t.co/op3WzlmBWP
ladygaga,So excited to sing for members of The Royal Family and the country ✌️️🇬🇧#RoyalVarietyPerformance https://t.co/ylpj4V5fnr
ladygaga,"#MILLIONREASONS video tomorrow, + it starts right where #PerfectIllusion left off. @MTV premiere WORLDWIDE at 3pm E… https://t.co/ZppCNsrICf"
ladygaga,@piersmorgan if you continue to shame me in the process of kindly agreeing to interview w/ u I'll happily do the interview with someone else
ladygaga,"@piersmorgan Let's do that &amp; yes Mr. Morgan, I can handle u. Suprised you would question that. Was that the 1st question of our interview?"
ladygaga,"@piersmorgan if anyone in your family suffers from it, I pray they have more good days than bad. It has affected me &amp; my whole family.❤️✌️"
ladygaga,"@piersmorgan would also love to talk with you about PTSD, that it's not just a ""military"" disorder. There is a mental health youth epidemic."
ladygaga,"@piersmorgan I've work w/ our VP Joe Biden on helping educate people about why women don't report, would love to share it w/ you some time."
ladygaga,@Madonna your speech at the Billboard Music Awards was inspiring. You're so brave &amp; strong. Thanks for being that for us girls we need that.
ladygaga,"Me performing ""Million Reasons"" from Japan in a golden lotus flower piano. With my sweeties... https://t.co/sHRysew7gX"
ladygaga,"Was just a lil girl w a big dream, a reminder that you should never give up. So many told me id never make it but I… https://t.co/Q0dulhh0bT"
ladygaga,"Good morning have a beautiful day everyone☀️try &amp; do one kind thing, even small, for someone else.  You'll find it does something for u 2.🐣🌱"
ladygaga,Thank you @AlanCarr! Watch my performance of #MillionReasons and get it on #JOANNE 🌾 https://t.co/aRsHvSC5ls https://t.co/CQgo504C1f
ladygaga,"#MakingJOANNE / EPISODE 2: MILLION REASONS https://t.co/4qZIEyQJ8t
Watch me recording #MillionReasons in the studio with @MarkRonson #JOANNE"
ladygaga,People should watch this. Well done man. 👏 https://t.co/xEaMEDraa0
ladygaga,"Happy Holidays 🎶❤️️🎁🎉! #MillionReasons xoxo, Joanne https://t.co/QE8KTcAfZ3"
ladygaga,"You guys are pretty awesome ⚡️ “Little Monsters are the most talented fanbase! 💕🎨” by @Gagas_Illusion

https://t.co/SXS6FgNrfL"
ladygaga,"A look into my life, a new article and fashion spread in @VanityFairItalia love ❤️ you guys #Joanne #LadyGaga https://t.co/c8YiTAY4nG"
ladygaga,Hereee we gooo! Watch my performance of A-YO and John Wayne from the #VSFashionShow! https://t.co/PRBxktBkUs
ladygaga,@ragdollnina @AlbertKennedyTr love you Nina. You go through so much and still give back to others. So dope.
ladygaga,Donate to @AlbertKennedyTr @BTWFoundation Empower homeless youth by providing safe haven as well as research to inf… https://t.co/vfJr4ZFeW5
ladygaga,"Click Below WATCH the Victoria's Secret Angels walk while I sing ""Million Reasons."" This is one you don't wanna mis… https://t.co/ugjk03GtWB"
ladygaga,I ❤️these kids @AlbertKennedyTr Us at the @BTWFoundation want you to #ShareKindness and donate to these homeless LG… https://t.co/yHZ0U7WnQN
ladygaga,My #VSFashionShow performances are on VEVO! Watch #MillionReasons now: https://t.co/XTvd0fxnnO
