author,content
rihanna,"My new fragrance #RiRiKiss is available now, look for it @macys! Order it here —&gt; https://t.co/mcj5k6a2L1 https://t.co/qWP0Kpbkuf"
rihanna,"Navy, get a chance at prizes from #FENTYXPUMA, Dior, and more when you donate to the @ClaraLionelFdn until tomorrow… https://t.co/jYvbcKpYiT"
rihanna,Donate to @claralionelfdn &amp; you can win all of #THECREEPER styles + a pair designed by you and me!… https://t.co/qEldsrPMQB
rihanna,For my biggest fans! Collector's edition of all 8 records on vinyl is out now: https://t.co/0j7B1pRss4 https://t.co/yTSvXYzSQ0
rihanna,#THECREEPER is available in Velvet today! Creeper headz get the look in 3 new colorways now —&gt;… https://t.co/2tm65GMDOI
rihanna,Teamed up with Prince Harry &amp; got tested to raise awareness for #WorldAIDSDay. It's so easy to get tested &amp; know yo… https://t.co/cNj90ze2Ch
rihanna,#Election2016 #ElectionDay #ImWithHer https://t.co/65zBtxNMBB
rihanna,Mumz just asked for 2 chicken wings and water 😂😂😂 right after asking if I watched Rob&amp;Chyna dis week! 🙈
rihanna,Looking back at my #FENTYXPUMA show. Paris was so much fun!!! https://t.co/gePTK7deWU
rihanna,My heart absolutely breaks for Haiti 🇭🇹 !!! Prayers up for my brothers and sisters who've fallen victim to this tragic event! 🙏🏿
rihanna,Retweet or use #VoteCano to vote @robinsoncano for the Roberto Clemente award Good luck bro!
rihanna,THANK U from the bottom of my heart! https://t.co/zrBxwMLrRQ
rihanna,This made me so happy!! Check out what Vogue had to say about #FENTYxPUMA SS17 --&gt; https://t.co/2xNZqwDi0G
rihanna,#THECREEPER original colorways are back at your RIHquest! Get them here right now: https://t.co/GAkFFgYA0O… https://t.co/DPXoSVIBVs
rihanna,We go live any minute now!! Tune in for my @PUMA collection on @TIDALHiFi https://t.co/1S5oLAzQAK #FENTYXPUMA… https://t.co/ZGqlToHuM2
rihanna,Fashion party 🤗 https://t.co/Cil0vYStAX
rihanna,WoOoOo #FENTYXPUMA SS17 premieres today at #PFW!! Stream the show at 7:30PM paris time on @TIDALHiFi… https://t.co/No4nrDKcgd
rihanna,Getting ready for #FENTYxPUMA show tomorrow in Paris!! Can't wait for you to see it! Tune in @TIDALHiFi… https://t.co/fhQZ9aXagQ
rihanna,"thank you @JuliaGillard! Proud to stand for education with you! @GPforEducation @GlblCtzn @ClaraLionelFdn, let's get to work!"
rihanna,"Honored to join @GPforEducation &amp; @GlblCtzn team! Together w/@ClaraLionelFDN, we'll
make education accessible for a… https://t.co/4LL1dD5qiO"
rihanna,.@VALLINIAndre @fhollande This is great news! Looking forward to it!
rihanna,.@fhollande Did you see my letter? Waiting on your answer! We need your leadership on #EducationCannotWait
rihanna,I’m a #GlobalCitizen. Join me 9/24 at #GCFestival in NYC's Central Park. Take action for tix:https://t.co/cUXrkrVecp https://t.co/uZzUDxQqkt
rihanna,The originals are back!!! #THECREEPER returns on September 29th in the original color ways! https://t.co/n8l0zeKJFV
rihanna,Call up @JustinTrudeau to make a change! Follow the link to earn points for #GCFestival tix: https://t.co/hVaLIj1Tex https://t.co/5BzUFq41SR
rihanna,Find this spot in Brooklyn! 1st 500 to #ShowUp 4:30-7 today win free tix to see me at #GCFestival Central Park 9/24! https://t.co/xsNPNusEVA
rihanna,NEW YORK who’s heading to #FENTYXPUMA pop up at @SIX02 33rd st?! Come shop with me at 7PM! https://t.co/0pdAU7BVlR
rihanna,First round of my #FENTYXPUMA collection hits stores today!! https://t.co/GAkFFgYA0O https://t.co/ZUxHJypJ3N
rihanna,Pull up Philly! Exclusive merch on sale at #MadeInAmerica https://t.co/ZyRi1kmkwZ https://t.co/0AyfzLFxNK
rihanna,The time to change is now!! Take action &amp; enter to win VIP tix + meet &amp; greet at #GCFestival→https://t.co/jRXsEbsKGY https://t.co/j1e1ynjKCQ
rihanna,Yoooo I'm livin for dese Rhenna stickers 😂! #TBT https://t.co/hNdFY2dqzR
rihanna,#RhennaVanguard #VMAs https://t.co/vReFC4tvqg
rihanna,#RhennaVanguard #VMAs https://t.co/FMzNS4dzjQ
rihanna,"1 down, 3 to go! #VMAs #RiRiVanguard https://t.co/rfJbQNxHdb"
rihanna,"Kickin Awf the @MTV #VMAs Sun at 9PM! Thank you for this 🎨 in honor of the #VMAs2016 era @pandagunda! #RiRiVanguard
https://t.co/sEpgVVVfcz"
rihanna,#VMAs #RiRiVANGUARD https://t.co/q4LylRE3Ly
rihanna,COMING SOON! My #FENTYXPUMA debut collection drops September 6. https://t.co/qTy5hbMgyV
rihanna,Headlining day 1 of @MIAFestival! Who’s comin to Philly wit me for #MadeInAmerica? Tix: https://t.co/tP2CjWCfeF https://t.co/NJi4LBDUr2
rihanna,Honored to take the #VMAs stage as your video #VANGUARD award recipient LIVE from NYC on August 28! https://t.co/Yk0RMH2ODr
rihanna,#SEPTEMBERissue @Wmag cover on stands first in LA and NYC today. https://t.co/kFzU3JD7zH
rihanna,My #FENTYXPUMA FUR SLIDE is back in stock plus all new GREY color way! Get it now: https://t.co/GAkFFgYA0O https://t.co/9c3QvJYLJJ
rihanna,"#BTS with #RIRICRUSH! My Caribbean ladies get it first! Available now in the Caribbean, in the US Aug.15th https://t.co/f5N7JlA7cb"
rihanna,#MALMO tonight we back for the #ANTIWORLDTOUR!! Can't wait to party with y'all!
rihanna,So excited to be a part of @GlblCtzn's hard work to better our world! Take action to see me at the #GCFestival 9/24: https://t.co/mxJSL0oLZP
rihanna,Can't wait to check in @InsideBates https://t.co/F9MPPLlSX1
rihanna,Get the brand new #CAMOCREEPER now here --&gt; https://t.co/GAkFFgYA0O https://t.co/qqRSya6zGj
rihanna,Thank you @MTV for 4 nominations for this year's #VMAs!! Navy you can click here to Vote now--&gt; https://t.co/A7YcJTMiHv
rihanna,#RIHANNADIOR sunglasses in stores now! https://t.co/JctywWQ370 https://t.co/INcKs9iJDn
rihanna,Parisian navy! SO excited to share my pop up shop w/ you @coletteparis! New #ANTIWORLDTOUR merch &amp; all things #FENTY https://t.co/oxIORusK9q
rihanna,Join me and the @weareheremvmt in demanding change. Sign the petition to make your voice heard: https://t.co/yShM3Zqc5y #23Ways
rihanna,Thank you for all the love and support on the road! #ANTIWORLDTOUR #Navy 🎈⚓ https://t.co/nD8Irpxik1
rihanna,Making of #SLEDGEHAMMERVIDEO is also on @TIDALHiFi https://t.co/3lO04c5lhH @StarTrekMovie @floriamamaroma
rihanna,#BTS on set of #SLEDGEHAMMERVIDEO on @VEVO! https://t.co/m0q0tnWrTI @StarTrekMovie @floriamamaroma
rihanna,Why I love @startrekmovie in 50 seconds! #Sledgehammer https://t.co/XiRrLke0M0
rihanna,watch the full #SLEDGEHAMMERVIDEO from @StarTrekMovie on @VEVO and @TIDALHiFi! NOW! 🔨🖖⚓ https://t.co/lrPr0mEDoE
rihanna,#SLEDGEHAMMERVIDEO out now!! Watch on @TIDALHiFi —&gt; https://t.co/kftdagqHuA @startrekmovie https://t.co/AhycRE55ae
rihanna,#SLEDGEHAMMERVIDEO out now!! Watch on @VEVO —&gt; https://t.co/Tw6a5iYvUO @startrekmovie
rihanna,#SLEDGEHAMMERVIDEO out now in #IMAX and premieres in 1 hour on @VEVO and @TIDALHiFi!! https://t.co/DhVZqRs5aH
rihanna,#SLEDGEHAMMERVIDEO tomorrow! 1st ever #IMAX music video debut at 9AM EST then watch @TIDALHiFi &amp; @VEVO at 10AM EST! https://t.co/uaupAsd1WG
