author,content
taylorswift13,"#LiveByNight is out now!

Check out the guy in the back with the really strong vest game, @austinswift7 😁 https://t.co/bRBRTLB7Sb"
taylorswift13,HAPPY Z DAY https://t.co/8d2eckMDsK
taylorswift13,"#fiftyshadesdarker
#idontwannaliveforever https://t.co/Q51nqZ4ppX"
taylorswift13,"Z | T | 50

@fiftyshades #fiftyshadesdarker
@itunes https://t.co/m4meFS4F79"
taylorswift13,"YES @Drake 👍💪✨
#drakevsbenchpress https://t.co/pZCQUaX8Mm"
taylorswift13,Today is the day. Go out and VOTE 🇺🇸 https://t.co/NdJ0OeiuUH
taylorswift13,HI #1 @littlebigtown https://t.co/PYSYDMZlHM
taylorswift13,Feeling really honored... https://t.co/SlxoWgxBBQ
taylorswift13,❤️ https://t.co/TL9xT3Lavj
taylorswift13,"Thanks @ATT, this is gonna be fun https://t.co/dS0qPTIutF"
taylorswift13,"Spending today with my family, thinking of those families who lost someone 15 years ago. We'll always remember. #NeverForget911"
taylorswift13,"Sending my biggest congratulations to Simone, Aly, Laurie, Gabby and Madison! YOU DID IT GIRLS!! 🇺🇸  #FinalFive"
taylorswift13,"That moment when Kanye West secretly records your phone call, then Kim posts it on the Internet. https://t.co/4GJqdyykQu"
taylorswift13,With a heavy heart... https://t.co/Dd1M0b7G1P
taylorswift13,One of my favorite people in the world turns 30 today! I LOVE YOU @lenadunham ❤️ https://t.co/8DNm1QPLvU
taylorswift13,"Dance like no one's watching @AppleMusic @thedarkness
https://t.co/QfX9l0EXX7"
taylorswift13,Really good times last night. 🎉 https://t.co/CNU16p83MX
taylorswift13,"Last night BMI gave me an award called the Taylor Swift Award, which was very nice of them. https://t.co/RKH4NrNOG5"
taylorswift13,WOAH thanks @voguemagazine for the cover and Theo Wenner for taking this photo at Met Gala! What a night ✨ https://t.co/b12sYNDR9i
taylorswift13,"Getting ready to go out… @AppleMusic @JimmyEatWorld
https://t.co/vq8LCFOuCO"
taylorswift13,BLEACHELLA. https://t.co/TwozyjEsgl
taylorswift13,"Come to the party, they said
It will be fun, they said https://t.co/9jXvtDljZB"
taylorswift13,Thank you so much for taking these sick photos and changing up my usual vibessss @mertalasmarcus!! @voguemagazine https://t.co/ztRVVPCcBH
taylorswift13,Thank you @jasongay for hanging out with me and @BritMaack at her wedding!! Read his awesome Vogue cover story:https://t.co/CIJWpEyNdW
taylorswift13,Thanks @voguemagazine! I love this one. https://t.co/FoNLCNuPFC
taylorswift13,"The best people in life are free.

#NewRomantics
https://t.co/qpp4HneyVX https://t.co/aYZ4iiJgnU"
taylorswift13,What an unbelievable run we've had with 1989. I'm so grateful for all of these memories &amp; all of you. #iHeartAwards https://t.co/zGNnFEg6tZ
taylorswift13,Headed to the #iHeartAwards now!!
taylorswift13,"Based on true events. #TAYLORvsTREADMILL
@applemusic @Drake @1Future
https://t.co/ryUY3Yz7Pr
https://t.co/1eIHjoVIFU"
taylorswift13,"GROUND YOURSELF.
@austinswift7 https://t.co/mkUQYeto0i"
taylorswift13,"A devastating loss.
@austinswift7 https://t.co/ok021VmIEn"
taylorswift13,"Easter Egg Battles 2016
@austinswift7 https://t.co/Nv85oxoBQj"
taylorswift13,Dogs tho. https://t.co/h0uiMM6JO2
taylorswift13,"HAPPY BIRTHDAY AUSTIN!!!!!
Thanks for 24 years of LOLs.
@austinswift7 https://t.co/ruTohXcwWO"
taylorswift13,"So grateful and inspired today!
Take the Pledge For Parity at
https://t.co/nQosDLJSY2
#HappyInternationalWomensDay https://t.co/MkZJfa5I7Y"
taylorswift13,I feel like we achieved our goal of looking like we're in a new primetime drama series called Family Secrets. https://t.co/O33kRm8VJH
taylorswift13,I'm very happy to say the next single from 1989 will be 'New Romantics'.
taylorswift13,"The moment it hits you.
@jackantonoff
#GRAMMYs https://t.co/cKZDjZ3uWN"
taylorswift13,Oh what a night. ⭐️ https://t.co/6GXus3xD4s
taylorswift13,@ChrisStapleton I glitter-bomb because I care.
taylorswift13,@TheGRAMMYs @edsheeran YES.
taylorswift13,"Bad Blood just won a Grammy for Best Music Video and we are not ok.
@selenagomez https://t.co/EquWAq0UPg"
taylorswift13,@TheGRAMMYs I AM SCREAMING
taylorswift13,"The making of the Out of The Woods video, directed by @JosephKahn
🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲
https://t.co/Spc3VNnR8e"
taylorswift13,"COLDPLAY
MARK RONSON
BRUNO MARS
BEYONCÉ
DANCE BATTLE
FIX YOU MONTAGE
JOYOUS FINALE
OH MY GOD IT WAS SO GOOD I FEEL LIKE I DREAMED IT"
taylorswift13,"Stunning.
https://t.co/JgII9TdjNK"
taylorswift13,@MusCornerNash @CityWineryNSH This is amazing!! I'm so honored that you would do this.
taylorswift13,"Magic
Madness
Heaven
Sin

https://t.co/DUGPiS2jg6"
taylorswift13,"Say you'll remember me.

https://t.co/GwbFXg7k6U"
taylorswift13,"She lost him
but she found herself
and somehow that was everything.

#OOTWMusicVideo is now on @VEVO https://t.co/k4emHDRfD3"
taylorswift13,"""I just realized we got through Christmas this year without listening to 'Christmas Lights' by Coldplay and crying!""
-@austinswift7"
